title,text,label
"NASA releases new Mars mission update","NASA announced a new rover mission to Mars after a successful launch window. The mission will collect soil samples and search for traces of water.",REAL
"Scientists prove the earth is flat","A group of researchers claims they have evidence the earth is flat despite overwhelming scientific consensus to the contrary.",FAKE
"Global markets react to interest rate decision","Stock markets around the world moved sharply after the central bank decided to keep rates steady in response to economic data.",REAL
"Study shows chocolate cures all diseases","A viral report says eating chocolate every day cures all diseases, but medical experts say the claim is unsupported.",FAKE
"New technology aims to reduce carbon emissions","Engineers developed new battery technology to help reduce carbon emissions and improve renewable energy storage.",REAL
"Celebrity claims aliens built the pyramids","An influencer posted that aliens built the pyramids, but historians emphasize human engineering and archaeology.",FAKE
"Local school introduces mental health curriculum","A school district adopted a new mental health curriculum for students to improve wellbeing and support positive habits.",REAL
"Secret government mind control program exposed","A blog article alleges secret government mind control programs exist without providing reliable evidence.",FAKE
"Scientists publish breakthrough vaccine research","Researchers published peer-reviewed results showing strong immune responses to a promising new vaccine candidate.",REAL
"Miracle herb reverses aging overnight","Claims about a miracle herb reversing aging overnight are not supported by clinical research.",FAKE
"City council approves affordable housing plan","City council members approved a new affordable housing proposal to support families and seniors.",REAL
"Time traveler warns of future election chaos","A social media post from a supposed time traveler warns of election chaos that never happened.",FAKE
"Researchers map the human brain in new detail","Neuroscientists released new brain maps that could help advance treatments for neurological disorders.",REAL
"Bread causes instant weight loss without diet","A viral headline says eating bread causes instant weight loss without diet changes, which is misleading.",FAKE
"New electric vehicle battery promises longer range","Automotive companies introduced an electric vehicle battery promising longer range and faster charging times.",REAL
"Government secretly replaces politicians with clones","A conspiracy article claims government replace politicians with clones, with no credible sources.",FAKE
"Water conservation improvements help drought-prone region","A conservation initiative improved water management in a drought-prone region through efficient irrigation.",REAL
"Man discovers hidden city under the ocean","A sensational story claims a hidden city under the ocean was discovered with no scientific verification.",FAKE
"University study finds exercise boosts mental health","A university study found regular exercise improves mood, memory, and mental health.",REAL
"Miracle cure found in common household spice","A clickbait article claims a household spice is a miracle cure for serious illnesses.",FAKE
